Nama Hotel,Harga Sewa/Malam,Bintang
Hotel Olympic Yogyakarta By Sajiwa,Rp 229.557,1
Grand Omah Sastro,Rp 338.843,3
The Green Winotosastro Hotel,Rp 206.529,1
Blue Safir Hotel Malioboro,Rp 247.934,1
Hotel LPP Convention,Rp 201.128,3
Mutiara Residence near Lippo Plaza Jogja Mitra RedDoorz,Rp 98.483,1
Super OYO OYO Capital O 514 Omah Pari Boutique Hotel,Rp 232.479,2
Super OYO 2008 Sellinas Family Residence Syariah,Rp 112.333,2
RedDoorz near Kampus 3 UTY Yogyakarta,Rp 112.564,1
Sunrise Hotel Yogyakarta,Rp 164.463,1
Nirvana Inn Wahid Hasyim Mitra RedDoorz,Rp 170.050,1
Manggolo Homestay Syariah,Rp 194.001,3
D'Salvatore Art & Boutique Hotel,Rp 416.916,3
Sky Hotel Jogja,Rp 206.612,1
OYO Collection O 1626 Alena Residence,Rp 280.421,1
RedDoorz Syariah @ Namira Hotel,Rp 126.634,1
Sawah Joglo Boutique Villa Mitra RedDoorz,Rp 328.310,1
Puri Langenarjan Guest House,Rp 173.554,2
PYRENEES Malioboro Hotel,Rp 603.655,2
Sans Hotel Prime Cailendra Yogyakarta by RedDoorz,Rp 275.802,3
RedDoorz Plus near Jogja City Mall 5,Rp 129.200,2
RedDoorz Plus @ Terban Residence,Rp 201.126,2
Hotel Aryuka Yogyakarta,Rp 165.289,1
Septia Malioboro Hotel,Rp 247.934,2
Collection O 90253 DHelomi,Rp 141.161,1
Malioboro Palace Hotel,Rp 330.579,1
RedDoorz @ Sagan Jogja 2,Rp 163.339,1
Urbanview Griya Kusumo Seturan Yogyakarta,Rp 193.418,2
RedDoorz Plus @ Taman Siswa 2,Rp 174.942,2
Tirtodipuran Hotel Malioboro by Natts Hospitality Indonesia,Rp 355.372,4
Akur Hotel Malioboro Mitra RedDoorz,Rp 158.095,1
Sans Hotel Pippo Yogyakarta by RedDoorz,Rp 231.174,3
EDU Hostel,Rp 90.909,1
Hotel Solaris Malioboro,Rp 167.355,2
Puri Artha Hotel Yogyakarta,Rp 287.021,3
Sekar Ayu Hotel Malioboro Mitra RedDoorz,Rp 157.729,1
The Cabin Hotel Bhayangkara,Rp 216.529,1
Pan Family Hotel Syariah Hospitality,Rp 82.645,1
RedDoorz Syariah near Taman Pelangi Jogja 2,Rp 171.372,1
The Cabin Hotel Sutomo,Rp 314.050,1
Super OYO 90778 River inn Malioboro,Rp 191.208,1
Prayogo Style Inn Prawirotaman Yogyakarta,Rp 177.686,2
University Hotel Yogyakarta,Rp 235.537,3
The Cabin Hotel Gandekan,Rp 157.025,1
Urbanview Hotel Syariah Wisnugraha by RedDoorz,Rp 161.629,1
RedDoorz near UMY Yogyakarta,Rp 165.570,1
Astana Malioboro Mitra RedDoorz,Rp 287.433,1
OYO 250 De'gadri Ndalem,Rp 115.155,2
Summer Season Boutique Hotel,Rp 350.780,2
Hotel Srikandi Baru,Rp 123.967,1
Sans Hotel Kumbang Yogyakarta by RedDoorz,Rp 222.218,3
RedDoorz Plus near Amplaz Yogyakarta,Rp 217.360,2
RedDoorz Syariah near Galeria Mall Yogyakarta,Rp 111.109,1
d'Omah Hotel Yogya,Rp 1.400.826,4
RedDoorz @ Arkana Seturan Pakuwon Mall,Rp 139.240,1
Super OYO 759 Hotel Dewi Sri,Rp 145.142,2
RedDoorz @ Jalan Parangtritis,Rp 122.995,1
RedDoorz near XT Square Yogyakarta,Rp 126.488,1
SUPER OYO 890 Dewi Fortuna Guest House,Rp 137.741,2
Urbanview Griya Jogokaryan by RedDoorz,Rp 224.926,2
Khayangan Resort Yogyakarta,Rp 371.901,4
RedDoorz near Universitas Muhammadiyah Yogyakarta,Rp 181.815,1
RedDoorz Plus near Stadion Mandala Krida,Rp 154.760,2
RedDoorz near Ramai Mall Malioboro,Rp 309.540,1
OYO 409 Pondok Helomi,Rp 143.982,2
RedDoorz @ Pakuncen Malioboro Yogyakarta,Rp 122.995,1
Hotel Gemah Ripah,Rp 206.612,1
The Nest Hotel Yogyakarta,Rp 192.430,1
House 140 Jogja,Rp 115.702,1
Andelis Homestay,Rp 206.612,1
Urbanview Le Reno Inn Wirobrajan by RedDoorz,Rp 189.617,2
Sriwedari Hotel Yogyakarta,Rp 214.876,3
Hotel Matahari Yogyakarta,Rp 305.785,2
Super OYO 2041 Griya Aneka,Rp 145.142,2
Kaira Room Guest House Syariah Mitra RedDoorz,Rp 204.992,1
Hotel Bugis Asri,Rp 152.881,1
Sans Hotel Nagari Malioboro,Rp 387.800,3
RedDoorz Plus near STIE YKPN,Rp 159.432,2
RedDoorz Syariah @ Lempuyangan,Rp 128.120,1
Ndalem Suratin Guesthouse,Rp 140.496,1
Sare Hotel Yogyakarta (Muslim Friendly),Rp 289.256,3
Hotel Bifa Yogyakarta,Rp 190.083,3
RedDoorz Plus @ Pogung Raya,Rp 112.552,2
RedDoorz Syariah @ Babadan Baru Jakal,Rp 142.706,1
